"Deal ID","Deal Name","Category","Sub Category","Supplier Name","Supplier Product Code","EAN No.","MPN","Product Name","Supplier Category","Supplier Subcategory","Long description","Web product name","ETIM Class No","Colour","Material","Finish","Attribute 1 Title","Attribute 1","Attribute 2 Title","Attribute 2","Attribute 3 Title","Attribute 3","Attribute 4 Title","Attribute 4","Attribute 5 Title","Attribute 5","Feature 1","Feature 2","Feature 3","Feature 4","Feature 5","Environmental text","Keywords","Alternative products","Linked products","Marketing Completeness","Image Url"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1200X0750S4",,"1395","P10 Man Ring 1200x0750mm SR4  ","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE S/WAY 1200X500S4",,"1484","P10 Soakaway 1200x0500 SR4    ","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1200","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1200X500-2-RUNGDOUBLE-STEP-SOAKAWAY.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE S/WAY 1200X0750 ",,"1481","P10 Soakaway 1200x0750 SR4    ","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1200","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1200X750-3-RUNGDOUBLE-STEP-SOAKAWAY.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE S/WAY1200X1000S4",,"1501","P10 Soakaway 1200x1000 SR4    ","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1200","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1200X1000-4-RUNGDOUBLE-STEP-SOAKAWAY.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1200X250 DS",,"2808","P10 Man Ring 1200x0250mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1200X250MM-1-RUNGDOUBLE-STEP.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1200X500 DS",,"2811","P10 Man Ring 1200x0500mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1200X500-2-RUNGDOUBLE-STEP.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1200X750 DS",,"2814","P10 Man Ring 1200x0750mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1200X750-3-RUNGDOUBLE-STEP.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1200X1000DS",,"2804","P10 Man Ring 1200x1000mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1200X1000-4-RUNGDOUBLE-STEP.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE SOAK 1200X500 DS",,"2890","P10 Soakaway 1200x0500mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1200","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE SOAK 1200X750 DS",,"2892","P10 Soakaway 1200x0750mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1200","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
