ID,Company,Address,Postcode,Latitude,Longitude
,1,,AB11 5AN,57.147988,-2.0857231
,2,,AB12 3AW,57.123378,-2.0929
,3,,B19 3HJ,52.488582,-1.9054975
,4,,B19 3HW,,
,5,,B19 3HW,,
,6,,B19 3HW,,
,7,,B70 8JH,52.512919,-2.0091363
,8,,B70 8JH,52.512919,-2.0091363
,9,,B97 4BT,52.310791,-1.9418265
,10,,BA14 8RL,51.332588,-2.2048488
,11,,BA2 3HQ,51.37774,-2.371099
,12,,BA20 2HL,50.935808,-2.6602056
,13,,BH12 4LY,50.744567,-1.9452256
,14,,BH21 1RB,50.794991,-1.9785947
,15,,BH23 2EP,50.743608,-1.7997003
,16,,BH23 3PY,50.740004,-1.7455229
,17,,BH9 1AB,50.739605,-1.8763574
,18,,BN14 8AG,50.82165,-0.37265469
,19,,BN23 6PW,50.788708,0.29711451
,20,,BS11 0YB,51.529514,-2.6791111
,21,,BS11 9FB,51.500091,-2.6902419
,22,,BS16 3PQ,51.471455,-2.523189
,23,,BS2 0TQ,51.449992,-2.5675399
,24,,BS2 0TQ,51.449992,-2.5675399
,25,,BS2 0TQ,51.449992,-2.5675399
,26,,BS2 0TQ,51.449992,-2.5675399
,27,,BS23 3YX,51.34227,-2.9571902
,28,,BS3 5BQ,51.437891,-2.5980192
,29,,BS8 4RY,51.449546,-2.6150084
,30,,CB1 7EB,52.191997,0.13800098
,31,,CF23 9AB,51.497677,-3.1447386
,32,,CF23 9AB,51.497677,-3.1447386
,33,,CF31 1TZ,51.504324,-3.5709049
,34,,CF48 2SR,51.768583,-3.3633569
,35,,CF83 3ED,51.571348,-3.2057058
,36,,CH1 4LT,53.192425,-2.9163263
,37,,CH1 4LT,53.192425,-2.9163263
,38,,CH44 4DD,53.411993,-3.0452787
,39,,CH44 4DD,53.411993,-3.0452787
,40,,CH65 8AX,53.281758,-2.8988433
,41,,CH65 8AX,53.281758,-2.8988433
,42,,CM1 3BU,51.72677,0.45165613
,43,,CO3 0NR,51.888308,0.84213751
,44,,CR0 4RR,51.357179,-0.12058436
,45,,CT11 9LR,51.331639,1.4067061
,46,,CT17 0UF,51.131834,1.2765532
,47,,CT9 2SU,51.382543,1.3911971
,48,,CT9 2SU,51.382543,1.3911971
,49,,CV1 4DW,52.423285,-1.5085949
,50,,CV21 3UR,52.368789,-1.2432563
,51,,CV6 5AH,52.425287,-1.5015138
,52,,DA11 8HB,51.434229,0.33229025
,53,,DE21 4AE,52.937932,-1.469399
,54,,DE21 4AE,52.937932,-1.469399
,55,,DE55 7GR,53.096078,-1.3796757
,56,,DN31 1SF,53.57274,-0.086427584
,57,,DN31 1SF,53.57274,-0.086427584
,58,,DT11 7TB,50.869273,-2.1567371
,59,,DT4 9TJ,50.613697,-2.4912229
,60,,E16 4SA,51.518972,0.0039175584
,61,,EH11 4DW,55.925018,-3.3031777
,62,,EH11 4DW,55.925018,-3.3031777
,63,,EX2 8QG,50.705432,-3.5289356
,64,,EX32 8PA,51.07211,-4.0233216
,65,,EX8 4NP,50.631944,-3.3989636
,66,,G53 7QS,55.811487,-4.3508818
,67,,GL1 2SQ,51.871565,-2.2460432
,68,,GL51 9PL,51.916492,-2.0996914
,69,,GU1 1BA,51.245551,-0.58299765
,70,,GU12 4DN,51.240828,-0.74092817
,71,,GU15 2QW,51.325783,-0.75655809
,72,,HP12 3RS,51.617566,-0.77646387
,73,,HP12 3RS,51.617566,-0.77646387
,74,,HR8 2HS,52.028474,-2.4352332
,75,,HU7 0XD,53.774399,-0.32832907
,76,,HU7 0XD,53.774399,-0.32832907
,77,,IP1 5AP,52.06628,1.1117603
,78,,IP32 7BX,52.240887,0.74698997
,79,,IP32 7BX,52.240887,0.74698997
,80,,IV1 1SY,57.484698,-4.2210686
,81,,KT22 7UE,51.300784,-0.3318553
,82,,KT6 5NJ,51.392891,-0.31337181
,83,,L20 2AE,53.438795,-2.9875416
,84,,L20 2AE,53.438795,-2.9875416
,85,,LE13 0DG,52.752598,-0.90826476
,86,,LE13 0DG,52.752598,-0.90826476
,87,,LE18 4TP,52.58065,-1.1391407
,88,,LE18 4TP,52.58065,-1.1391407
,89,,LE3 2FD,52.610749,-1.1655619
,90,,LL30 1HH,53.316484,-3.8315858
,91,,LL30 1HH,53.316484,-3.8315858
,92,,LL60 6DN,53.219485,-4.2690889
,93,,LS11 0EY,53.774556,-1.5799036
,94,,LU5 4LR,51.889851,-0.49157737
,95,,M17 1QR,53.467093,-2.3244437
,96,,M17 1QR,53.467093,-2.3244437
,97,,M50 1AY,53.483601,-2.3225655
,98,,M50 1AY,53.483601,-2.3225655
,99,,ME14 2UL,51.278915,0.52721959
,100,,ME15 6HJ,51.266892,0.52714754
,101,,ME2 2AU,51.393242,0.49112302
,102,,ME2 2AU,51.393242,0.49112302
,103,,ME7 5JS,,
,104,,MK42 9SU,52.120618,-0.45771164
,105,,N7 9BH,51.544879,-0.11874448
,106,,NE11 0JS,54.936848,-1.6224646
,107,,NE6 4LT,54.980663,-1.538414
,108,,NE6 4LT,54.980663,-1.538414
,109,,NG17 2HU,53.122838,-1.3093121
,110,,NG18 2JL,53.141966,-1.1867457
,111,,NG7 2AB,52.954343,-1.1791794
,112,,NG7 4FX,52.96009,-1.1654341
,113,,NG7 4FX,52.96009,-1.1654341
,114,,NN3 6AX,52.279402,-0.8757928
,115,,NP19 0WB,51.589127,-2.9783646
,116,,NR6 6NG,52.664371,1.2795288
,117,,NW10 2XA,51.55013,-0.24521054
,118,,NW6 1NF,51.551601,-0.19810279
,119,,OX5 1LA,51.829168,-1.3004061
,120,,PA15 2TQ,55.942679,-4.7287406
,121,,PE3 7PR,52.587398,-0.26439911
,122,,PE30 4JQ,52.732302,0.41120357
,123,,PL12 6LX,50.41768,-4.237818
,124,,PL25 3RF,50.343571,-4.7375737
,125,,PL31 1DQ,50.458513,-4.7086719
,126,,PL4 0HN,50.369519,-4.1298675
,127,,PL4 0NP,50.369653,-4.125528
,128,,PL4 0NP,50.369653,-4.125528
,129,,PL7 4BA,50.393609,-4.0450362
,130,,PO22 9GH,50.797274,-0.66645351
,131,,PO3 5LA,50.831523,-1.0691405
,132,,PR1 7NH,53.771708,-2.7153724
,133,,PR1 7NH,53.771708,-2.7153724
,134,,RG1 8EQ,51.463673,-0.98492503
,135,,RG1 8EQ,51.463673,-0.98492503
,136,,RG21 6XE,51.273553,-1.1036037
,137,,RH10 9NX,51.136821,-0.17074279
,138,,RM13 8RS,51.523237,0.1773376
,139,,S2 4AW,53.373531,-1.4671751
,140,,S2 4AW,53.373531,-1.4671751
,141,,S2 4AW,53.373531,-1.4671751
,142,,S41 7LG,53.248188,-1.4202958
,143,,S70 1TW,53.549476,-1.473798
,144,,S70 1TW,53.549476,-1.473798
,145,,S9 3QN,53.390846,-1.4402838
,146,,SA12 6LF,51.594829,-3.7895067
,147,,SA67 8RE,51.788921,-4.7412929
,148,,SA7 9AG,51.66205,-3.9063969
,149,,SA7 9AH,51.659123,-3.9050161
,150,,SE16 4DG,51.493666,-0.06289857
,151,,SK10 2DH,53.27049,-2.1185949
,152,,SK10 2DH,53.27049,-2.1185949
,153,,SM6 9AP,51.358535,-0.1436252
,154,,SN5 7UL,51.564979,-1.8135013
,155,,SO15 3FE,50.911859,-1.4201689
,156,,SO23 7FA,51.069164,-1.2959652
,157,,SO53 4HZ,50.979315,-1.3944442
,158,,SP10 3AS,51.206442,-1.4973277
,159,,SP10 3AS,51.206442,-1.4973277
